POPULATION_NAME,FISCAL_YEAR,DEMO_GRP,TOTAL_CT,TOTAL_CT_ANNOT,SMHS1_CT,SMHS1_CT_ANNOT,SMHS5_CT,SMHS5_CT_ANNOT
Alameda,2020,R4 Hispanic,66443,,1140,,725,
Alameda,2020,R5 White,37920,,2000,,1410,
Alameda,2020,R6 Other,65776,,2445,,1688,
Alameda,2020,R7 Unknown,15010,,890,,668,
Alameda,2020,S1 Female,171634,,4972,,3578,
Alameda,2020,S2 Male,138387,,5336,,3644,
Alameda,2020,Z1 ALL,310021,,10308,,7222,
Alameda,2021,A1 Adults 21-44,156154,,5408,,3696,
Alameda,2021,A2 Adults 45-64,91370,,3571,,2757,
Alameda,2021,A3 Adults 65+,63705,,881,,710,
Alameda,2021,R1 Alaskan Native or American Indian,755,,41,,29,
Alameda,2021,R2 Asian or Pacific Islander,75741,,872,,696,
Alameda,2021,R3 Black,47007,,2713,,1957,
Alameda,2021,R4 Hispanic,66622,,1155,,758,
Alameda,2021,R5 White,37042,,1808,,1324,
Alameda,2021,R6 Other,70552,,2491,,1796,
Alameda,2021,R7 Unknown,13510,,780,,603,
Alameda,2021,S1 Female,171838,,4805,,3576,
Alameda,2021,S2 Male,139391,,5055,,3587,
Alameda,2021,Z1 ALL,311229,,9860,,7163,
Alpine,2015,A1 Adults 21-44,148,,15,,,1
Alpine,2015,A2 Adults 45-64,108,,,1,,1
Alpine,2015,A3 Adults 65+,35,,,1,,1
Alpine,2015,R1 Alaskan Native or American Indian,101,,,1,,1
Alpine,2015,R2 Asian or Pacific Islander,,1,0,,0,
Alpine,2015,R3 Black,,1,0,,0,
Alpine,2015,R4 Hispanic,18,,0,,0,
Alpine,2015,R5 White,143,,16,,12,
Alpine,2015,R6 Other,,1,,1,,1
Alpine,2015,R7 Unknown,18,,,1,,1
Alpine,2015,S1 Female,146,,19,,13,
Alpine,2015,S2 Male,145,,,1,,1
Alpine,2015,Z1 ALL,291,,25,,18,
Alpine,2016,A1 Adults 21-44,136,,16,,,1
Alpine,2016,A2 Adults 45-64,110,,,1,,1
Alpine,2016,A3 Adults 65+,36,,,1,,1
Alpine,2016,R1 Alaskan Native or American Indian,111,,11,,,1
Alpine,2016,R2 Asian or Pacific Islander,,1,0,,0,
Alpine,2016,R4 Hispanic,18,,0,,0,
Alpine,2016,R5 White,134,,16,,11,
Alpine,2016,R6 Other,,1,,1,,1
Alpine,2016,R7 Unknown,11,,,1,,1
Alpine,2016,S1 Female,141,,20,,15,
Alpine,2016,S2 Male,141,,,1,,1
Alpine,2016,Z1 ALL,282,,29,,21,
Alpine,2017,A1 Adults 21-44,134,,,2,14,
Alpine,2017,A2 Adults 45-64,94,,13,,,1
Alpine,2017,A3 Adults 65+,39,,,1,,1
Alpine,2017,R1 Alaskan Native or American Indian,108,,13,,,1
Alpine,2017,R2 Asian or Pacific Islander,,1,0,,0,
Alpine,2017,R3 Black,,1,0,,0,
Alpine,2017,R4 Hispanic,13,,0,,0,
Alpine,2017,R5 White,122,,,2,14,
Alpine,2017,R6 Other,,1,,1,,1
Alpine,2017,R7 Unknown,17,,0,,0,
Alpine,2017,S1 Female,142,,22,,17,
Alpine,2017,S2 Male,125,,,1,,1
Alpine,2017,Z1 ALL,267,,32,,23,
Alpine,2018,A1 Adults 21-44,120,,20,,,1
Alpine,2018,A2 Adults 45-64,81,,,1,,1
Alpine,2018,A3 Adults 65+,35,,,1,,1
Alpine,2018,R1 Alaskan Native or American Indian,112,,15,,,1
Alpine,2018,R2 Asian or Pacific Islander,,1,0,,0,
Alpine,2018,R3 Black,,1,,1,,1
Alpine,2018,R4 Hispanic,12,,,1,0,
Alpine,2018,R5 White,83,,11,,,1
Alpine,2018,R6 Other,,1,0,,0,
Alpine,2018,R7 Unknown,22,,,1,0,
Alpine,2018,S1 Female,128,,18,,16,
Alpine,2018,S2 Male,108,,11,,,1
Alpine,2018,Z1 ALL,236,,29,,19,
Alpine,2019,A1 Adults 21-44,124,,18,,11,
Alpine,2019,A2 Adults 45-64,80,,,1,,1
Alpine,2019,A3 Adults 65+,33,,,1,,1
Alpine,2019,R1 Alaskan Native or American Indian,119,,22,,14,
Alpine,2019,R2 Asian or Pacific Islander,,1,0,,0,
Alpine,2019,R3 Black,,1,,1,,1
Alpine,2019,R4 Hispanic,13,,0,,0,
Alpine,2019,R5 White,80,,,1,,1
Alpine,2019,R6 Other,,1,0,,0,
Alpine,2019,R7 Unknown,17,,0,,0,
Alpine,2019,S1 Female,126,,18,,15,
Alpine,2019,S2 Male,111,,13,,,1
Alpine,2019,Z1 ALL,237,,31,,20,
Alpine,2020,A1 Adults 21-44,114,,,1,,1
Alpine,2020,A2 Adults 45-64,77,,14,,13,
Alpine,2020,A3 Adults 65+,34,,,1,,1
Alpine,2020,R1 Alaskan Native or American Indian,109,,15,,,1
Alpine,2020,R2 Asian or Pacific Islander,,1,0,,0,
Alpine,2020,R3 Black,,1,,1,,1
Alpine,2020,R4 Hispanic,12,,0,,0,
Alpine,2020,R5 White,82,,,1,,1
Alpine,2020,R6 Other,,1,0,,0,
Alpine,2020,R7 Unknown,12,,0,,0,
Alpine,2020,S1 Female,121,,20,,16,
Alpine,2020,S2 Male,104,,,1,,1
Alpine,2020,Z1 ALL,225,,25,,17,
Alpine,2021,A1 Adults 21-44,109,,,1,,1
Alpine,2021,A2 Adults 45-64,81,,11,,,1
Alpine,2021,A3 Adults 65+,33,,,1,,1
Alpine,2021,R1 Alaskan Native or American Indian,106,,14,,,1
Alpine,2021,R2 Asian or Pacific Islander,,1,0,,0,
Alpine,2021,R3 Black,,1,,1,,1
Alpine,2021,R4 Hispanic,,1,,1,0,
Alpine,2021,R5 White,83,,,1,,1
Alpine,2021,R6 Other,,1,0,,0,
Alpine,2021,R7 Unknown,20,,0,,0,
Alpine,2021,S1 Female,123,,17,,12,
Alpine,2021,S2 Male,100,,,1,,1
Alpine,2021,Z1 ALL,223,,22,,13,
Amador,2015,A1 Adults 21-44,2634,,304,,172,
Amador,2015,A2 Adults 45-64,2172,,258,,145,
Amador,2015,A3 Adults 65+,616,,26,,12,
Amador,2015,R1 Alaskan Native or American Indian,108,,,1,,1
Amador,2015,R2 Asian or Pacific Islander,76,,,1,,1
Amador,2015,R3 Black,40,,,1,,1
Amador,2015,R4 Hispanic,387,,39,,23,
Amador,2015,R5 White,4282,,470,,260,
Amador,2015,R6 Other,83,,,1,,1
Amador,2015,R7 Unknown,446,,53,,32,
Amador,2015,S1 Female,2963,,378,,213,
Amador,2015,S2 Male,2459,,210,,116,
Amador,2015,Z1 ALL,5422,,588,,329,
Amador,2016,A1 Adults 21-44,2962,,326,,171,
Amador,2016,A2 Adults 45-64,2253,,259,,160,
Amador,2016,A3 Adults 65+,659,,29,,14,
Amador,2016,R1 Alaskan Native or American Indian,113,,,1,,1
Amador,2016,R2 Asian or Pacific Islander,89,,,1,,1
Amador,2016,R3 Black,42,,,1,,1
Amador,2016,R4 Hispanic,534,,39,,26,
Amador,2016,R5 White,4572,,506,,273,
Amador,2016,R6 Other,103,,13,,,1
Amador,2016,R7 Unknown,421,,42,,29,
Amador,2016,S1 Female,3249,,376,,220,
Amador,2016,S2 Male,2625,,238,,125,
Amador,2016,Z1 ALL,5874,,614,,345,
Amador,2017,A1 Adults 21-44,3034,,309,,138,
Amador,2017,A2 Adults 45-64,2298,,261,,149,
Amador,2017,A3 Adults 65+,685,,40,,19,
Amador,2017,R1 Alaskan Native or American Indian,112,,,1,0,
Amador,2017,R2 Asian or Pacific Islander,84,,,1,,1
Amador,2017,R3 Black,47,,,1,,1
Amador,2017,R4 Hispanic,585,,43,,23,
Amador,2017,R5 White,4659,,505,,248,
Amador,2017,R6 Other,90,,,1,,1
Amador,2017,R7 Unknown,440,,42,,24,
Amador,2017,S1 Female,3316,,368,,196,
Amador,2017,S2 Male,2701,,242,,110,
Amador,2017,Z1 ALL,6017,,610,,306,
Amador,2018,A1 Adults 21-44,2938,,278,,132,
Amador,2018,A2 Adults 45-64,2192,,259,,138,
Amador,2018,A3 Adults 65+,715,,34,,19,
Amador,2018,R1 Alaskan Native or American Indian,105,,0,,0,
Amador,2018,R2 Asian or Pacific Islander,79,,,1,,1
Amador,2018,R3 Black,46,,,1,,1
Amador,2018,R4 Hispanic,580,,44,,22,
Amador,2018,R5 White,4519,,480,,246,
Amador,2018,R6 Other,101,,,1,,1
Amador,2018,R7 Unknown,415,,32,,12,
Amador,2018,S1 Female,3227,,355,,198,
Amador,2018,S2 Male,2618,,216,,91,
Amador,2018,Z1 ALL,5845,,571,,289,
Amador,2019,A1 Adults 21-44,2828,,263,,134,
Amador,2019,A2 Adults 45-64,2129,,251,,150,
Amador,2019,A3 Adults 65+,749,,34,,20,
Amador,2019,R1 Alaskan Native or American Indian,104,,,1,0,
Amador,2019,R2 Asian or Pacific Islander,83,,,1,,1
Amador,2019,R3 Black,46,,,1,,1
Amador,2019,R4 Hispanic,564,,36,,22,
Amador,2019,R5 White,4430,,453,,253,
Amador,2019,R6 Other,93,,11,,,1
Amador,2019,R7 Unknown,386,,32,,14,
Amador,2019,S1 Female,3170,,354,,201,
Amador,2019,S2 Male,2536,,194,,103,
Amador,2019,Z1 ALL,5706,,548,,304,
Amador,2020,A1 Adults 21-44,2804,,275,,151,
Amador,2020,A2 Adults 45-64,2043,,210,,130,
Amador,2020,A3 Adults 65+,757,,31,,15,
Amador,2020,R1 Alaskan Native or American Indian,92,,,1,,1
Amador,2020,R2 Asian or Pacific Islander,76,,,1,,1
Amador,2020,R3 Black,47,,,1,,1
Amador,2020,R4 Hispanic,569,,37,,18,
Amador,2020,R5 White,4344,,429,,248,
Amador,2020,R6 Other,84,,,1,,1
Amador,2020,R7 Unknown,392,,29,,14,
Amador,2020,S1 Female,3141,,328,,193,
Amador,2020,S2 Male,2463,,188,,103,
Amador,2020,Z1 ALL,5604,,516,,296,
Amador,2021,A1 Adults 21-44,2957,,283,,165,
Amador,2021,A2 Adults 45-64,2126,,188,,120,
Amador,2021,A3 Adults 65+,890,,26,,22,
Amador,2021,R1 Alaskan Native or American Indian,102,,,1,,1
Amador,2021,R2 Asian or Pacific Islander,79,,,1,,1
Amador,2021,R3 Black,52,,,1,,1
Amador,2021,R4 Hispanic,659,,33,,15,
Amador,2021,R5 White,4550,,414,,260,
Amador,2021,R6 Other,70,,,1,,1
Amador,2021,R7 Unknown,461,,32,,19,
Amador,2021,S1 Female,3344,,317,,200,
Amador,2021,S2 Male,2629,,180,,107,
Amador,2021,Z1 ALL,5973,,497,,307,
Butte,2015,A1 Adults 21-44,29177,,2281,,1238,
Butte,2015,A2 Adults 45-64,18229,,1704,,1157,
Butte,2015,A3 Adults 65+,6441,,219,,148,
Butte,2015,R1 Alaskan Native or American Indian,989,,70,,41,
Butte,2015,R2 Asian or Pacific Islander,2841,,207,,155,
Butte,2015,R3 Black,1395,,136,,83,
Butte,2015,R4 Hispanic,6478,,294,,152,
Butte,2015,R5 White,36824,,2884,,1699,
Butte,2015,R6 Other,878,,53,,32,
Butte,2015,R7 Unknown,4442,,560,,381,
Butte,2015,S1 Female,28384,,2226,,1394,
Butte,2015,S2 Male,25463,,1978,,1149,
Butte,2015,Z1 ALL,53847,,4204,,2543,
Butte,2016,A1 Adults 21-44,33443,,2290,,1320,
Butte,2016,A2 Adults 45-64,19508,,1650,,1108,
Butte,2016,A3 Adults 65+,6712,,210,,139,
Butte,2016,R1 Alaskan Native or American Indian,1048,,57,,37,
Butte,2016,R2 Asian or Pacific Islander,3075,,190,,139,
Butte,2016,R3 Black,1541,,147,,92,
Butte,2016,R4 Hispanic,8888,,315,,182,
Butte,2016,R5 White,39586,,2935,,1777,
Butte,2016,R6 Other,1293,,76,,50,
Butte,2016,R7 Unknown,4232,,430,,290,
Butte,2016,S1 Female,31254,,2166,,1354,
Butte,2016,S2 Male,28409,,1984,,1213,
Butte,2016,Z1 ALL,59663,,4150,,2567,
Butte,2017,A1 Adults 21-44,34518,,2359,,1401,
Butte,2017,A2 Adults 45-64,19644,,1690,,1169,
Butte,2017,A3 Adults 65+,6926,,208,,137,
Butte,2017,R1 Alaskan Native or American Indian,1025,,56,,33,
Butte,2017,R2 Asian or Pacific Islander,3220,,160,,131,
Butte,2017,R3 Black,1552,,144,,93,
Butte,2017,R4 Hispanic,9439,,330,,189,
Butte,2017,R5 White,39964,,3051,,1911,
Butte,2017,R6 Other,1471,,85,,48,
Butte,2017,R7 Unknown,4417,,431,,302,
Butte,2017,S1 Female,31977,,2189,,1419,
Butte,2017,S2 Male,29111,,2068,,1288,
Butte,2017,Z1 ALL,61088,,4257,,2707,
Butte,2018,A1 Adults 21-44,34327,,2352,,1505,
Butte,2018,A2 Adults 45-64,19252,,1656,,1209,
Butte,2018,A3 Adults 65+,7184,,238,,159,
Butte,2018,R1 Alaskan Native or American Indian,1004,,53,,33,
Butte,2018,R2 Asian or Pacific Islander,3214,,149,,126,
Butte,2018,R3 Black,1573,,135,,95,
Butte,2018,R4 Hispanic,9536,,360,,221,
Butte,2018,R5 White,39288,,3065,,2024,
Butte,2018,R6 Other,1668,,94,,65,
Butte,2018,R7 Unknown,4480,,390,,309,
Butte,2018,S1 Female,31812,,2201,,1540,
Butte,2018,S2 Male,28951,,2045,,1333,
Butte,2018,Z1 ALL,60763,,4246,,2873,
Butte,2019,A1 Adults 21-44,32601,,2244,,1396,
Butte,2019,A2 Adults 45-64,18359,,1504,,1082,
Butte,2019,A3 Adults 65+,7188,,253,,170,
Butte,2019,R1 Alaskan Native or American Indian,977,,59,,36,
Butte,2019,R2 Asian or Pacific Islander,3154,,146,,101,
Butte,2019,R3 Black,1546,,121,,85,
Butte,2019,R4 Hispanic,9461,,381,,242,
Butte,2019,R5 White,37057,,2830,,1843,
Butte,2019,R6 Other,1532,,70,,51,
Butte,2019,R7 Unknown,4421,,394,,290,
Butte,2019,S1 Female,30591,,2115,,1458,
Butte,2019,S2 Male,27557,,1886,,1190,
Butte,2019,Z1 ALL,58148,,4001,,2648,
Butte,2020,A1 Adults 21-44,30707,,2043,,1323,
Butte,2020,A2 Adults 45-64,17527,,1351,,967,
Butte,2020,A3 Adults 65+,7000,,224,,167,
Butte,2020,R1 Alaskan Native or American Indian,926,,53,,29,
Butte,2020,R2 Asian or Pacific Islander,3051,,110,,91,
Butte,2020,R3 Black,1522,,124,,76,
Butte,2020,R4 Hispanic,9337,,343,,226,
Butte,2020,R5 White,34844,,2586,,1738,
Butte,2020,R6 Other,1371,,68,,53,
Butte,2020,R7 Unknown,4183,,334,,244,
Butte,2020,S1 Female,29178,,1918,,1329,
Butte,2020,S2 Male,26056,,1700,,1128,
Butte,2020,Z1 ALL,55234,,3618,,2457,
Butte,2021,A1 Adults 21-44,30109,,1939,,1198,
Butte,2021,A2 Adults 45-64,17189,,1157,,858,
Butte,2021,A3 Adults 65+,7354,,232,,178,
Butte,2021,R1 Alaskan Native or American Indian,910,,43,,32,
Butte,2021,R2 Asian or Pacific Islander,3014,,100,,79,
Butte,2021,R3 Black,1528,,125,,77,
Butte,2021,R4 Hispanic,9581,,370,,231,
Butte,2021,R5 White,34259,,2340,,1555,
Butte,2021,R6 Other,1216,,60,,44,
Butte,2021,R7 Unknown,4144,,290,,216,
Butte,2021,S1 Female,29001,,1819,,1245,
Butte,2021,S2 Male,25651,,1509,,989,
Butte,2021,Z1 ALL,54652,,3328,,2234,
Calaveras,2015,A1 Adults 21-44,3988,,327,,196,
Calaveras,2015,A2 Adults 45-64,3249,,256,,163,
Calaveras,2015,A3 Adults 65+,857,,29,,23,
Calaveras,2015,R1 Alaskan Native or American Indian,128,,,1,,1
Calaveras,2015,R2 Asian or Pacific Islander,99,,,1,,1
Calaveras,2015,R3 Black,68,,,1,,1
Calaveras,2015,R4 Hispanic,651,,36,,23,
Calaveras,2015,R5 White,6546,,489,,300,
Calaveras,2015,R6 Other,119,,,1,,1
Calaveras,2015,R7 Unknown,483,,59,,45,
Calaveras,2015,S1 Female,4329,,345,,212,
Calaveras,2015,S2 Male,3765,,267,,170,
Calaveras,2015,Z1 ALL,8094,,612,,382,
Calaveras,2016,A1 Adults 21-44,4453,,302,,163,
Calaveras,2016,A2 Adults 45-64,3353,,227,,139,
Calaveras,2016,A3 Adults 65+,925,,33,,20,
Calaveras,2016,R1 Alaskan Native or American Indian,131,,,1,,1
Calaveras,2016,R2 Asian or Pacific Islander,123,,,1,,1
Calaveras,2016,R3 Black,77,,,1,,1
Calaveras,2016,R4 Hispanic,884,,37,,20,
Calaveras,2016,R5 White,6871,,463,,263,
Calaveras,2016,R6 Other,153,,,1,,1
Calaveras,2016,R7 Unknown,492,,41,,26,
Calaveras,2016,S1 Female,4641,,335,,198,
Calaveras,2016,S2 Male,4090,,227,,124,
Calaveras,2016,Z1 ALL,8731,,562,,322,
Calaveras,2017,A1 Adults 21-44,4701,,300,,173,
Calaveras,2017,A2 Adults 45-64,3403,,203,,112,
Calaveras,2017,A3 Adults 65+,997,,39,,17,
Calaveras,2017,R1 Alaskan Native or American Indian,127,,,1,,1
Calaveras,2017,R2 Asian or Pacific Islander,121,,,1,,1
Calaveras,2017,R3 Black,84,,,1,,1
Calaveras,2017,R4 Hispanic,990,,44,,29,
Calaveras,2017,R5 White,7111,,444,,243,
Calaveras,2017,R6 Other,179,,,1,,1
Calaveras,2017,R7 Unknown,489,,38,,22,
Calaveras,2017,S1 Female,4857,,315,,180,
Calaveras,2017,S2 Male,4244,,227,,122,
Calaveras,2017,Z1 ALL,9101,,542,,302,
Calaveras,2018,A1 Adults 21-44,4680,,356,,183,
Calaveras,2018,A2 Adults 45-64,3345,,214,,117,
Calaveras,2018,A3 Adults 65+,988,,35,,15,
Calaveras,2018,R1 Alaskan Native or American Indian,136,,,1,,1
Calaveras,2018,R2 Asian or Pacific Islander,108,,,1,,1
Calaveras,2018,R3 Black,89,,,1,,1
Calaveras,2018,R4 Hispanic,1007,,59,,32,
Calaveras,2018,R5 White,7001,,479,,252,
Calaveras,2018,R6 Other,191,,17,,,1
Calaveras,2018,R7 Unknown,481,,37,,19,
Calaveras,2018,S1 Female,4814,,361,,183,
Calaveras,2018,S2 Male,4199,,244,,132,
Calaveras,2018,Z1 ALL,9013,,605,,315,
Calaveras,2019,A1 Adults 21-44,4473,,307,,181,
Calaveras,2019,A2 Adults 45-64,3262,,221,,128,
Calaveras,2019,A3 Adults 65+,1026,,40,,21,
Calaveras,2019,R1 Alaskan Native or American Indian,132,,,1,,1
Calaveras,2019,R2 Asian or Pacific Islander,113,,,1,,1
Calaveras,2019,R3 Black,73,,,1,,1
Calaveras,2019,R4 Hispanic,1005,,53,,37,
Calaveras,2019,R5 White,6793,,462,,262,
Calaveras,2019,R6 Other,174,,,1,,1
Calaveras,2019,R7 Unknown,471,,29,,18,
Calaveras,2019,S1 Female,4711,,334,,183,
Calaveras,2019,S2 Male,4050,,234,,147,
Calaveras,2019,Z1 ALL,8761,,568,,330,
Calaveras,2020,A1 Adults 21-44,4510,,290,,171,
Calaveras,2020,A2 Adults 45-64,3180,,181,,122,
Calaveras,2020,A3 Adults 65+,1090,,27,,16,
Calaveras,2020,R1 Alaskan Native or American Indian,134,,,1,0,
Calaveras,2020,R2 Asian or Pacific Islander,102,,,1,,1
Calaveras,2020,R3 Black,83,,,1,,1
Calaveras,2020,R4 Hispanic,1057,,62,,37,
Calaveras,2020,R5 White,6804,,386,,240,
Calaveras,2020,R6 Other,149,,,1,,1
Calaveras,2020,R7 Unknown,451,,32,,20,
Calaveras,2020,S1 Female,4748,,290,,178,
Calaveras,2020,S2 Male,4032,,208,,131,
Calaveras,2020,Z1 ALL,8780,,498,,309,
Calaveras,2021,A1 Adults 21-44,4518,,314,,201,
Calaveras,2021,A2 Adults 45-64,3216,,200,,121,
Calaveras,2021,A3 Adults 65+,1179,,32,,22,
Calaveras,2021,R1 Alaskan Native or American Indian,130,,,1,,1
Calaveras,2021,R2 Asian or Pacific Islander,110,,,1,,1
Calaveras,2021,R3 Black,87,,,1,,1
Calaveras,2021,R4 Hispanic,1053,,63,,42,
Calaveras,2021,R5 White,6866,,430,,269,
Calaveras,2021,R6 Other,137,,,1,,1
Calaveras,2021,R7 Unknown,530,,30,,18,
Calaveras,2021,S1 Female,4807,,305,,189,
Calaveras,2021,S2 Male,4106,,241,,155,
Calaveras,2021,Z1 ALL,8913,,546,,344,
Colusa,2015,A1 Adults 21-44,1800,,190,,145,
Colusa,2015,A2 Adults 45-64,1193,,152,,122,
Colusa,2015,A3 Adults 65+,595,,19,,15,
Colusa,2015,R1 Alaskan Native or American Indian,52,,,1,,1
Colusa,2015,R2 Asian or Pacific Islander,69,,,1,,1
Colusa,2015,R3 Black,33,,,1,,1
Colusa,2015,R4 Hispanic,2032,,110,,89,
Colusa,2015,R5 White,1079,,198,,152,
Colusa,2015,R6 Other,32,,,1,,1
Colusa,2015,R7 Unknown,291,,31,,26,
Colusa,2015,S1 Female,2065,,233,,186,
Colusa,2015,S2 Male,1523,,128,,96,
Colusa,2015,Z1 ALL,3588,,361,,282,
Colusa,2016,A1 Adults 21-44,2480,,202,,151,
Colusa,2016,A2 Adults 45-64,1387,,158,,126,
Colusa,2016,A3 Adults 65+,627,,24,,14,
Colusa,2016,R1 Alaskan Native or American Indian,56,,,1,,1
Colusa,2016,R2 Asian or Pacific Islander,80,,,1,,1
Colusa,2016,R3 Black,38,,,1,,1
Colusa,2016,R4 Hispanic,2817,,141,,99,
Colusa,2016,R5 White,1153,,197,,158,
Colusa,2016,R6 Other,43,,,1,,1
Colusa,2016,R7 Unknown,307,,26,,20,
Colusa,2016,S1 Female,2637,,249,,185,
Colusa,2016,S2 Male,1857,,135,,106,
Colusa,2016,Z1 ALL,4494,,384,,291,
Colusa,2017,A1 Adults 21-44,2768,,219,,141,
Colusa,2017,A2 Adults 45-64,1487,,161,,120,
Colusa,2017,A3 Adults 65+,673,,31,,22,
Colusa,2017,R1 Alaskan Native or American Indian,60,,,1,,1
Colusa,2017,R2 Asian or Pacific Islander,82,,,1,,1
Colusa,2017,R3 Black,45,,,1,,1
Colusa,2017,R4 Hispanic,3134,,158,,102,
Colusa,2017,R5 White,1210,,202,,147,
Colusa,2017,R6 Other,58,,,1,,1
Colusa,2017,R7 Unknown,339,,29,,21,
Colusa,2017,S1 Female,2875,,253,,176,
Colusa,2017,S2 Male,2053,,158,,107,
Colusa,2017,Z1 ALL,4928,,411,,283,
Colusa,2018,A1 Adults 21-44,2758,,231,,149,
Colusa,2018,A2 Adults 45-64,1477,,155,,118,
Colusa,2018,A3 Adults 65+,709,,28,,21,
Colusa,2018,R1 Alaskan Native or American Indian,65,,,1,,1
Colusa,2018,R2 Asian or Pacific Islander,72,,,1,,1
Colusa,2018,R3 Black,46,,,1,,1
Colusa,2018,R4 Hispanic,3144,,162,,100,
Colusa,2018,R5 White,1200,,201,,151,
Colusa,2018,R6 Other,57,,,1,,1
Colusa,2018,R7 Unknown,360,,28,,21,
Colusa,2018,S1 Female,2906,,250,,181,
Colusa,2018,S2 Male,2038,,164,,107,
Colusa,2018,Z1 ALL,4944,,414,,288,
Colusa,2019,A1 Adults 21-44,2937,,229,,153,
Colusa,2019,A2 Adults 45-64,1533,,158,,115,
Colusa,2019,A3 Adults 65+,779,,30,,21,
Colusa,2019,R1 Alaskan Native or American Indian,62,,,1,,1
Colusa,2019,R2 Asian or Pacific Islander,88,,,1,,1
Colusa,2019,R3 Black,45,,,1,,1
Colusa,2019,R4 Hispanic,3379,,162,,101,
