Year,County,Occupation,Successful Closures,Annotation Code,Count Annotation Desc,Percent,Percent Annotation Desc
2014,El Dorado,"Prod, Const, Operating, Maint & Material Handling",11,,,,
2014,El Dorado,"Professional, Paraprofessional and Technical",2,,,,
2014,El Dorado,RSA Special Occupations and Miscellaneous,1,,,,
2014,El Dorado,Sales and Related Occupations,3,,,,
2014,El Dorado,Service Occupations,13,,,,
2014,Fresno,Not Reported,26,,,,
2014,Fresno,"Agricultural, Forestry, Fishing and Related",4,,,,
2014,Fresno,Clerical and Administrative Support,41,,,,
2014,Fresno,Computer and Mathematical Occupations,1,,,,
2014,Fresno,Healthcare Practitioners and Technical Occupations,1,,,,
2014,Fresno,Managerial and Administrative,1,,,,
2014,Fresno,"Prod, Const, Operating, Maint & Material Handling",68,,,,
2014,Fresno,"Professional, Paraprofessional and Technical",22,,,,
2014,Fresno,RSA Special Occupations and Miscellaneous,28,,,,
2014,Fresno,Sales and Related Occupations,17,,,,
2014,Fresno,Service Occupations,48,,,,
2014,Glenn,Not Reported,3,,,,
2014,Glenn,"Agricultural, Forestry, Fishing and Related",,1,"Cell suppressed for small number. A score over 12 using the Publication scoring criteria, data omitted.",1,This value represents less than or equal to 1 percent.  
2014,Glenn,"Prod, Const, Operating, Maint & Material Handling",,1,"Cell suppressed for small number. A score over 12 using the Publication scoring criteria, data omitted.",1,This value represents less than or equal to 1 percent.  
2014,Glenn,"Professional, Paraprofessional and Technical",,1,"Cell suppressed for small number. A score over 12 using the Publication scoring criteria, data omitted.",1,This value represents less than or equal to 1 percent.  
2014,Glenn,RSA Special Occupations and Miscellaneous,,1,"Cell suppressed for small number. A score over 12 using the Publication scoring criteria, data omitted.",1,This value represents less than or equal to 1 percent.  
2014,Glenn,Sales and Related Occupations,,1,"Cell suppressed for small number. A score over 12 using the Publication scoring criteria, data omitted.",1,This value represents less than or equal to 1 percent.  
2014,Glenn,Service Occupations,,1,"Cell suppressed for small number. A score over 12 using the Publication scoring criteria, data omitted.",1,This value represents less than or equal to 1 percent.  
2014,Humboldt,Not Reported,8,,,,
2014,Humboldt,"Agricultural, Forestry, Fishing and Related",1,,,,
2014,Humboldt,Clerical and Administrative Support,7,,,,
2014,Humboldt,Computer and Mathematical Occupations,1,,,,
2014,Humboldt,"Prod, Const, Operating, Maint & Material Handling",8,,,,
2014,Humboldt,"Professional, Paraprofessional and Technical",5,,,,
2014,Humboldt,RSA Special Occupations and Miscellaneous,1,,,,
2014,Humboldt,Sales and Related Occupations,6,,,,
2014,Humboldt,Service Occupations,8,,,,
2014,Imperial,Not Reported,16,,,,
2014,Imperial,"Agricultural, Forestry, Fishing and Related",2,,,,
2014,Imperial,Clerical and Administrative Support,5,,,,
2014,Imperial,"Prod, Const, Operating, Maint & Material Handling",10,,,,
2014,Imperial,"Professional, Paraprofessional and Technical",5,,,,
2014,Imperial,RSA Special Occupations and Miscellaneous,3,,,,
2014,Imperial,Sales and Related Occupations,9,,,,
2014,Imperial,Service Occupations,12,,,,
2014,Inyo,"Professional, Paraprofessional and Technical",,1,"Cell suppressed for small number. A score over 12 using the Publication scoring criteria, data omitted.",1,This value represents less than or equal to 1 percent.  
2014,Kern,Not Reported,9,,,,
2014,Kern,Clerical and Administrative Support,23,,,,
2014,Kern,Computer and Mathematical Occupations,2,,,,
2014,Kern,Healthcare Support Occupations,2,,,,
2014,Kern,Managerial and Administrative,1,,,,
2014,Kern,"Prod, Const, Operating, Maint & Material Handling",65,,,,
2014,Kern,"Professional, Paraprofessional and Technical",11,,,,
2014,Kern,RSA Special Occupations and Miscellaneous,13,,,,
2014,Kern,Sales and Related Occupations,16,,,,
2014,Kern,Service Occupations,17,,,,
2014,Kings,Not Reported,9,,,,
2014,Kings,Clerical and Administrative Support,2,,,,
2014,Kings,Managerial and Administrative,1,,,,
2014,Kings,"Prod, Const, Operating, Maint & Material Handling",5,,,,
2014,Kings,"Professional, Paraprofessional and Technical",3,,,,
2014,Kings,Sales and Related Occupations,2,,,,
2014,Kings,Service Occupations,8,,,,
2014,Lake,Not Reported,2,,,,
2014,Lake,"Agricultural, Forestry, Fishing and Related",,1,"Cell suppressed for small number. A score over 12 using the Publication scoring criteria, data omitted.",1,This value represents less than or equal to 1 percent.  
2014,Lake,Clerical and Administrative Support,,1,"Cell suppressed for small number. A score over 12 using the Publication scoring criteria, data omitted.",1,This value represents less than or equal to 1 percent.  
2014,Lake,Managerial and Administrative,,1,"Cell suppressed for small number. A score over 12 using the Publication scoring criteria, data omitted.",1,This value represents less than or equal to 1 percent.  
2014,Lake,"Prod, Const, Operating, Maint & Material Handling",,1,"Cell suppressed for small number. A score over 12 using the Publication scoring criteria, data omitted.",1,This value represents less than or equal to 1 percent.  
2014,Lake,"Professional, Paraprofessional and Technical",,1,"Cell suppressed for small number. A score over 12 using the Publication scoring criteria, data omitted.",1,This value represents less than or equal to 1 percent.  
2014,Lake,RSA Special Occupations and Miscellaneous,,1,"Cell suppressed for small number. A score over 12 using the Publication scoring criteria, data omitted.",1,This value represents less than or equal to 1 percent.  
2014,Lake,Service Occupations,,1,"Cell suppressed for small number. A score over 12 using the Publication scoring criteria, data omitted.",1,This value represents less than or equal to 1 percent.  
2014,Lassen,Not Reported,2,,,,
2014,Lassen,Clerical and Administrative Support,,1,"Cell suppressed for small number. A score over 12 using the Publication scoring criteria, data omitted.",1,This value represents less than or equal to 1 percent.  
2014,Lassen,"Prod, Const, Operating, Maint & Material Handling",,1,"Cell suppressed for small number. A score over 12 using the Publication scoring criteria, data omitted.",1,This value represents less than or equal to 1 percent.  
2014,Lassen,"Professional, Paraprofessional and Technical",,1,"Cell suppressed for small number. A score over 12 using the Publication scoring criteria, data omitted.",1,This value represents less than or equal to 1 percent.  
2014,Lassen,RSA Special Occupations and Miscellaneous,,1,"Cell suppressed for small number. A score over 12 using the Publication scoring criteria, data omitted.",1,This value represents less than or equal to 1 percent.  
2014,Lassen,Sales and Related Occupations,,1,"Cell suppressed for small number. A score over 12 using the Publication scoring criteria, data omitted.",1,This value represents less than or equal to 1 percent.  
2014,Lassen,Service Occupations,,1,"Cell suppressed for small number. A score over 12 using the Publication scoring criteria, data omitted.",1,This value represents less than or equal to 1 percent.  
2014,Los Angeles,Not Reported,404,,,,
2014,Los Angeles,"Agricultural, Forestry, Fishing and Related",25,,,,
2014,Los Angeles,Clerical and Administrative Support,872,,,,
2014,Los Angeles,Community and Social Service Occupations,11,,,,
2014,Los Angeles,Computer and Mathematical Occupations,15,,,,
2014,Los Angeles,Construction and Extraction Occupations,43,,,,
2014,Los Angeles,"Education, Training, and Library Occupations",7,,,,
2014,Los Angeles,Healthcare Practitioners and Technical Occupations,3,,,,
2014,Los Angeles,Healthcare Support Occupations,6,,,,
2014,Los Angeles,Managerial and Administrative,33,,,,
2014,Los Angeles,Personal Care and Service Occupations,1,,,,
2014,Los Angeles,"Prod, Const, Operating, Maint & Material Handling",728,,,,
2014,Los Angeles,Production Occupations,4,,,,
2014,Los Angeles,"Professional, Paraprofessional and Technical",221,,,,
2014,Los Angeles,Protective Service Occupations,3,,,,
2014,Los Angeles,RSA Special Occupations and Miscellaneous,148,,,,
2014,Los Angeles,Sales and Related Occupations,517,,,,
2014,Los Angeles,Service Occupations,613,,,,
2014,Madera,Not Reported,3,,,,
2014,Madera,Clerical and Administrative Support,4,,,,
2014,Madera,Construction and Extraction Occupations,1,,,,
2014,Madera,"Prod, Const, Operating, Maint & Material Handling",5,,,,
2014,Madera,RSA Special Occupations and Miscellaneous,2,,,,
2014,Madera,Service Occupations,1,,,,
2014,Marin,Not Reported,11,,,,
2014,Marin,"Agricultural, Forestry, Fishing and Related",1,,,,
2014,Marin,Clerical and Administrative Support,9,,,,
2014,Marin,Computer and Mathematical Occupations,1,,,,
2014,Marin,Managerial and Administrative,2,,,,
2014,Marin,"Prod, Const, Operating, Maint & Material Handling",6,,,,
2014,Marin,"Professional, Paraprofessional and Technical",10,,,,
2014,Marin,RSA Special Occupations and Miscellaneous,6,,,,
2014,Marin,Sales and Related Occupations,10,,,,
2014,Marin,Service Occupations,17,,,,
2014,Mariposa,Not Reported,1,,,,
2014,Mariposa,"Prod, Const, Operating, Maint & Material Handling",,1,"Cell suppressed for small number. A score over 12 using the Publication scoring criteria, data omitted.",1,This value represents less than or equal to 1 percent.  
2014,Mendocino,Not Reported,3,,,,
2014,Mendocino,"Agricultural, Forestry, Fishing and Related",,1,"Cell suppressed for small number. A score over 12 using the Publication scoring criteria, data omitted.",1,This value represents less than or equal to 1 percent.  
2014,Mendocino,Clerical and Administrative Support,,1,"Cell suppressed for small number. A score over 12 using the Publication scoring criteria, data omitted.",1,This value represents less than or equal to 1 percent.  
2014,Mendocino,"Prod, Const, Operating, Maint & Material Handling",17,,,,
2014,Mendocino,"Professional, Paraprofessional and Technical",,1,"Cell suppressed for small number. A score over 12 using the Publication scoring criteria, data omitted.",1,This value represents less than or equal to 1 percent.  
2014,Mendocino,RSA Special Occupations and Miscellaneous,,1,"Cell suppressed for small number. A score over 12 using the Publication scoring criteria, data omitted.",1,This value represents less than or equal to 1 percent.  
2014,Mendocino,Sales and Related Occupations,15,,,,
2014,Mendocino,Service Occupations,15,,,,
2014,Merced,Not Reported,2,,,,
2014,Merced,"Agricultural, Forestry, Fishing and Related",4,,,,
2014,Merced,Clerical and Administrative Support,7,,,,
2014,Merced,Healthcare Support Occupations,1,,,,
2014,Merced,"Prod, Const, Operating, Maint & Material Handling",23,,,,
2014,Merced,"Professional, Paraprofessional and Technical",3,,,,
2014,Merced,RSA Special Occupations and Miscellaneous,7,,,,
2014,Merced,Sales and Related Occupations,7,,,,
2014,Merced,Service Occupations,24,,,,
2014,Modoc,"Agricultural, Forestry, Fishing and Related",,1,"Cell suppressed for small number. A score over 12 using the Publication scoring criteria, data omitted.",1,This value represents less than or equal to 1 percent.  
2014,Modoc,"Professional, Paraprofessional and Technical",,1,"Cell suppressed for small number. A score over 12 using the Publication scoring criteria, data omitted.",1,This value represents less than or equal to 1 percent.  
2014,Modoc,RSA Special Occupations and Miscellaneous,,1,"Cell suppressed for small number. A score over 12 using the Publication scoring criteria, data omitted.",1,This value represents less than or equal to 1 percent.  
2014,Modoc,Sales and Related Occupations,,1,"Cell suppressed for small number. A score over 12 using the Publication scoring criteria, data omitted.",1,This value represents less than or equal to 1 percent.  
2014,Modoc,Service Occupations,,1,"Cell suppressed for small number. A score over 12 using the Publication scoring criteria, data omitted.",1,This value represents less than or equal to 1 percent.  
2014,Mono,Clerical and Administrative Support,,1,"Cell suppressed for small number. A score over 12 using the Publication scoring criteria, data omitted.",1,This value represents less than or equal to 1 percent.  
2014,Monterey,Not Reported,17,,,,
2014,Monterey,"Agricultural, Forestry, Fishing and Related",13,,,,
2014,Monterey,Clerical and Administrative Support,15,,,,
2014,Monterey,Computer and Mathematical Occupations,2,,,,
2014,Monterey,"Education, Training, and Library Occupations",1,,,,
2014,Monterey,Managerial and Administrative,3,,,,
2014,Monterey,"Prod, Const, Operating, Maint & Material Handling",14,,,,
2014,Monterey,"Professional, Paraprofessional and Technical",13,,,,
2014,Monterey,RSA Special Occupations and Miscellaneous,2,,,,
2014,Monterey,Sales and Related Occupations,25,,,,
2014,Monterey,Service Occupations,25,,,,
2014,Napa,Not Reported,5,,,,
2014,Napa,"Agricultural, Forestry, Fishing and Related",2,,,,
2014,Napa,Clerical and Administrative Support,8,,,,
2014,Napa,Community and Social Service Occupations,1,,,,
2014,Napa,"Prod, Const, Operating, Maint & Material Handling",14,,,,
2014,Napa,"Professional, Paraprofessional and Technical",4,,,,
2014,Napa,RSA Special Occupations and Miscellaneous,6,,,,
2014,Napa,Sales and Related Occupations,11,,,,
2014,Napa,Service Occupations,19,,,,
2014,Nevada,Not Reported,2,,,,
2014,Nevada,"Agricultural, Forestry, Fishing and Related",,1,"Cell suppressed for small number. A score over 12 using the Publication scoring criteria, data omitted.",1,This value represents less than or equal to 1 percent.  
2014,Nevada,Clerical and Administrative Support,,1,"Cell suppressed for small number. A score over 12 using the Publication scoring criteria, data omitted.",1,This value represents less than or equal to 1 percent.  
2014,Nevada,Community and Social Service Occupations,,1,"Cell suppressed for small number. A score over 12 using the Publication scoring criteria, data omitted.",1,This value represents less than or equal to 1 percent.  
2014,Nevada,Computer and Mathematical Occupations,,1,"Cell suppressed for small number. A score over 12 using the Publication scoring criteria, data omitted.",1,This value represents less than or equal to 1 percent.  
2014,Nevada,Healthcare Support Occupations,,1,"Cell suppressed for small number. A score over 12 using the Publication scoring criteria, data omitted.",1,This value represents less than or equal to 1 percent.  
2014,Nevada,"Prod, Const, Operating, Maint & Material Handling",,1,"Cell suppressed for small number. A score over 12 using the Publication scoring criteria, data omitted.",1,This value represents less than or equal to 1 percent.  
2014,Nevada,"Professional, Paraprofessional and Technical",,1,"Cell suppressed for small number. A score over 12 using the Publication scoring criteria, data omitted.",1,This value represents less than or equal to 1 percent.  
2014,Nevada,RSA Special Occupations and Miscellaneous,,1,"Cell suppressed for small number. A score over 12 using the Publication scoring criteria, data omitted.",1,This value represents less than or equal to 1 percent.  
2014,Nevada,Sales and Related Occupations,,1,"Cell suppressed for small number. A score over 12 using the Publication scoring criteria, data omitted.",1,This value represents less than or equal to 1 percent.  
2014,Nevada,Service Occupations,20,,,,
2014,Not Reported,Not Reported,4,,,,
2014,Not Reported,Clerical and Administrative Support,1,,,,
2014,Not Reported,Computer and Mathematical Occupations,1,,,,
2014,Not Reported,"Prod, Const, Operating, Maint & Material Handling",2,,,,
2014,Not Reported,"Professional, Paraprofessional and Technical",2,,,,
2014,Not Reported,RSA Special Occupations and Miscellaneous,3,,,,
2014,Not Reported,Service Occupations,1,,,,
2014,Orange,Not Reported,129,,,,
2014,Orange,"Agricultural, Forestry, Fishing and Related",17,,,,
2014,Orange,Clerical and Administrative Support,270,,,,
2014,Orange,Community and Social Service Occupations,1,,,,
2014,Orange,Computer and Mathematical Occupations,2,,,,
2014,Orange,"Education, Training, and Library Occupations",1,,,,
2014,Orange,Healthcare Support Occupations,1,,,,
2014,Orange,Managerial and Administrative,6,,,,
2014,Orange,"Prod, Const, Operating, Maint & Material Handling",208,,,,
2014,Orange,Production Occupations,1,,,,
2014,Orange,"Professional, Paraprofessional and Technical",81,,,,
2014,Orange,RSA Special Occupations and Miscellaneous,39,,,,
2014,Orange,Sales and Related Occupations,244,,,,
2014,Orange,Service Occupations,208,,,,
2014,Out of State,Not Reported,6,,,,
2014,Out of State,Clerical and Administrative Support,7,,,,
2014,Out of State,Managerial and Administrative,1,,,,
2014,Out of State,"Prod, Const, Operating, Maint & Material Handling",3,,,,
2014,Out of State,"Professional, Paraprofessional and Technical",10,,,,
2014,Out of State,Protective Service Occupations,1,,,,
2014,Out of State,RSA Special Occupations and Miscellaneous,5,,,,
2014,Out of State,Sales and Related Occupations,6,,,,
2014,Out of State,Service Occupations,8,,,,
2014,Placer,Not Reported,15,,,,
2014,Placer,Clerical and Administrative Support,30,,,,
2014,Placer,Community and Social Service Occupations,1,,,,
2014,Placer,Managerial and Administrative,1,,,,
2014,Placer,"Prod, Const, Operating, Maint & Material Handling",20,,,,
2014,Placer,Production Occupations,1,,,,
2014,Placer,"Professional, Paraprofessional and Technical",7,,,,
2014,Placer,RSA Special Occupations and Miscellaneous,7,,,,
2014,Placer,Sales and Related Occupations,8,,,,
2014,Placer,Service Occupations,37,,,,
2014,Plumas,Clerical and Administrative Support,,1,"Cell suppressed for small number. A score over 12 using the Publication scoring criteria, data omitted.",1,This value represents less than or equal to 1 percent.  
2014,Plumas,"Prod, Const, Operating, Maint & Material Handling",,1,"Cell suppressed for small number. A score over 12 using the Publication scoring criteria, data omitted.",1,This value represents less than or equal to 1 percent.  
2014,Plumas,RSA Special Occupations and Miscellaneous,,1,"Cell suppressed for small number. A score over 12 using the Publication scoring criteria, data omitted.",1,This value represents less than or equal to 1 percent.  
2014,Riverside,Not Reported,64,,,,
2014,Riverside,"Agricultural, Forestry, Fishing and Related",13,,,,
2014,Riverside,Clerical and Administrative Support,92,,,,
2014,Riverside,Community and Social Service Occupations,1,,,,
2014,Riverside,Computer and Mathematical Occupations,5,,,,
2014,Riverside,"Education, Training, and Library Occupations",2,,,,
2014,Riverside,Healthcare Practitioners and Technical Occupations,1,,,,
2014,Riverside,Managerial and Administrative,7,,,,
2014,Riverside,"Prod, Const, Operating, Maint & Material Handling",148,,,,
2014,Riverside,"Professional, Paraprofessional and Technical",55,,,,
2014,Riverside,RSA Special Occupations and Miscellaneous,29,,,,
2014,Riverside,Sales and Related Occupations,76,,,,
2014,Riverside,Service Occupations,130,,,,
2014,Sacramento,Not Reported,42,,,,
2014,Sacramento,"Agricultural, Forestry, Fishing and Related",5,,,,
2014,Sacramento,Clerical and Administrative Support,121,,,,
2014,Sacramento,Community and Social Service Occupations,1,,,,
2014,Sacramento,Computer and Mathematical Occupations,3,,,,
2014,Sacramento,Healthcare Support Occupations,3,,,,
2014,Sacramento,Managerial and Administrative,2,,,,
2014,Sacramento,"Prod, Const, Operating, Maint & Material Handling",99,,,,
2014,Sacramento,"Professional, Paraprofessional and Technical",41,,,,
2014,Sacramento,RSA Special Occupations and Miscellaneous,34,,,,
2014,Sacramento,Sales and Related Occupations,35,,,,
2014,Sacramento,Service Occupations,90,,,,
2014,San Benito,Not Reported,2,,,,
2014,San Benito,Clerical and Administrative Support,,1,"Cell suppressed for small number. A score over 12 using the Publication scoring criteria, data omitted.",1,This value represents less than or equal to 1 percent.  
2014,San Benito,Construction and Extraction Occupations,,1,"Cell suppressed for small number. A score over 12 using the Publication scoring criteria, data omitted.",1,This value represents less than or equal to 1 percent.  
2014,San Benito,"Prod, Const, Operating, Maint & Material Handling",,1,"Cell suppressed for small number. A score over 12 using the Publication scoring criteria, data omitted.",1,This value represents less than or equal to 1 percent.  
2014,San Benito,"Professional, Paraprofessional and Technical",,1,"Cell suppressed for small number. A score over 12 using the Publication scoring criteria, data omitted.",1,This value represents less than or equal to 1 percent.  
2014,San Benito,RSA Special Occupations and Miscellaneous,,1,"Cell suppressed for small number. A score over 12 using the Publication scoring criteria, data omitted.",1,This value represents less than or equal to 1 percent.  
2014,San Benito,Sales and Related Occupations,,1,"Cell suppressed for small number. A score over 12 using the Publication scoring criteria, data omitted.",1,This value represents less than or equal to 1 percent.  
2014,San Benito,Service Occupations,,1,"Cell suppressed for small number. A score over 12 using the Publication scoring criteria, data omitted.",1,This value represents less than or equal to 1 percent.  
2014,San Bernardino,Not Reported,83,,,,
2014,San Bernardino,"Agricultural, Forestry, Fishing and Related",17,,,,
2014,San Bernardino,Clerical and Administrative Support,80,,,,
2014,San Bernardino,Computer and Mathematical Occupations,2,,,,
2014,San Bernardino,"Education, Training, and Library Occupations",2,,,,
2014,San Bernardino,Healthcare Support Occupations,1,,,,
2014,San Bernardino,Managerial and Administrative,3,,,,
2014,San Bernardino,"Prod, Const, Operating, Maint & Material Handling",145,,,,
2014,San Bernardino,"Professional, Paraprofessional and Technical",31,,,,
2014,San Bernardino,RSA Special Occupations and Miscellaneous,28,,,,
2014,San Bernardino,Sales and Related Occupations,98,,,,
2014,San Bernardino,Service Occupations,123,,,,
2014,San Diego,Not Reported,121,,,,
2014,San Diego,"Agricultural, Forestry, Fishing and Related",13,,,,
2014,San Diego,Clerical and Administrative Support,197,,,,
2014,San Diego,Community and Social Service Occupations,6,,,,
2014,San Diego,Computer and Mathematical Occupations,7,,,,
2014,San Diego,"Education, Training, and Library Occupations",2,,,,
2014,San Diego,Healthcare Support Occupations,4,,,,
2014,San Diego,Managerial and Administrative,8,,,,
2014,San Diego,"Prod, Const, Operating, Maint & Material Handling",259,,,,
2014,San Diego,Production Occupations,4,,,,
2014,San Diego,"Professional, Paraprofessional and Technical",92,,,,
2014,San Diego,RSA Special Occupations and Miscellaneous,143,,,,
2014,San Diego,Sales and Related Occupations,139,,,,
2014,San Diego,Service Occupations,302,,,,
2014,San Francisco,Not Reported,51,,,,
2014,San Francisco,"Agricultural, Forestry, Fishing and Related",2,,,,
2014,San Francisco,Clerical and Administrative Support,96,,,,
2014,San Francisco,Community and Social Service Occupations,4,,,,
2014,San Francisco,Computer and Mathematical Occupations,2,,,,
2014,San Francisco,"Education, Training, and Library Occupations",2,,,,
2014,San Francisco,Healthcare Practitioners and Technical Occupations,1,,,,
2014,San Francisco,Managerial and Administrative,2,,,,
2014,San Francisco,"Prod, Const, Operating, Maint & Material Handling",24,,,,
2014,San Francisco,"Professional, Paraprofessional and Technical",35,,,,
2014,San Francisco,RSA Special Occupations and Miscellaneous,18,,,,
2014,San Francisco,Sales and Related Occupations,19,,,,
2014,San Francisco,Service Occupations,74,,,,
2014,San Joaquin,Not Reported,7,,,,
2014,San Joaquin,Clerical and Administrative Support,15,,,,
2014,San Joaquin,"Education, Training, and Library Occupations",1,,,,
2014,San Joaquin,"Installation, Maintenance, and Repair Occupations",1,,,,
2014,San Joaquin,"Prod, Const, Operating, Maint & Material Handling",13,,,,
2014,San Joaquin,"Professional, Paraprofessional and Technical",7,,,,
2014,San Joaquin,RSA Special Occupations and Miscellaneous,11,,,,
2014,San Joaquin,Sales and Related Occupations,10,,,,
2014,San Joaquin,Service Occupations,12,,,,
2014,San Luis Obispo,Not Reported,17,,,,
2014,San Luis Obispo,"Agricultural, Forestry, Fishing and Related",3,,,,
2014,San Luis Obispo,Clerical and Administrative Support,17,,,,
2014,San Luis Obispo,Computer and Mathematical Occupations,2,,,,
2014,San Luis Obispo,"Education, Training, and Library Occupations",1,,,,
2014,San Luis Obispo,"Prod, Const, Operating, Maint & Material Handling",28,,,,
2014,San Luis Obispo,"Professional, Paraprofessional and Technical",9,,,,
2014,San Luis Obispo,RSA Special Occupations and Miscellaneous,2,,,,
2014,San Luis Obispo,Sales and Related Occupations,9,,,,
2014,San Luis Obispo,Service Occupations,45,,,,
2014,San Mateo,Not Reported,25,,,,
2014,San Mateo,"Agricultural, Forestry, Fishing and Related",8,,,,
2014,San Mateo,Clerical and Administrative Support,72,,,,
2014,San Mateo,Community and Social Service Occupations,1,,,,
2014,San Mateo,Managerial and Administrative,3,,,,
2014,San Mateo,"Prod, Const, Operating, Maint & Material Handling",22,,,,
2014,San Mateo,"Professional, Paraprofessional and Technical",20,,,,
2014,San Mateo,RSA Special Occupations and Miscellaneous,7,,,,
2014,San Mateo,Sales and Related Occupations,57,,,,
2014,San Mateo,Service Occupations,65,,,,
2014,Santa Barbara,Not Reported,53,,,,
2014,Santa Barbara,"Agricultural, Forestry, Fishing and Related",8,,,,
2014,Santa Barbara,Clerical and Administrative Support,38,,,,
2014,Santa Barbara,Healthcare Practitioners and Technical Occupations,1,,,,
2014,Santa Barbara,Managerial and Administrative,3,,,,
2014,Santa Barbara,"Prod, Const, Operating, Maint & Material Handling",33,,,,
2014,Santa Barbara,"Professional, Paraprofessional and Technical",18,,,,
2014,Santa Barbara,RSA Special Occupations and Miscellaneous,9,,,,
2014,Santa Barbara,Sales and Related Occupations,33,,,,
2014,Santa Barbara,Service Occupations,66,,,,
2014,Santa Clara,Not Reported,48,,,,
2014,Santa Clara,"Agricultural, Forestry, Fishing and Related",6,,,,
2014,Santa Clara,Clerical and Administrative Support,108,,,,
