Area Type,Area Name,Year,Period,Labor Force,Employment,Unemployment,Unemployment Rate,Seasonally Adjusted (Y N),Status
Sub-County Place,Del Rey CDP,2010,Annual,600,500,100,11.3,N,Final
Sub-County Place,Del Rey Oaks city,2010,Annual,900,900,100,9.7,N,Final
Sub-County Place,Denair CDP,2010,Annual,2400,2300,100,5.9,N,Final
Sub-County Place,Derby Acres CDP,2010,Annual,100,100,0,0,N,Final
Sub-County Place,Desert Hot Springs city,2010,Annual,11000,9100,1800,16.6,N,Final
Sub-County Place,Desert View Highlands CDP,2010,Annual,1200,800,300,28.9,N,Final
Sub-County Place,Diablo CDP,2010,Annual,500,500,0,0,N,Final
Sub-County Place,Diamond Bar city,2010,Annual,28700,26400,2400,8.2,N,Final
Sub-County Place,Diamond Springs CDP,2010,Annual,5300,4200,1100,20.2,N,Final
Sub-County Place,Dinuba city,2010,Annual,10400,8500,1900,18.2,N,Final
Sub-County Place,Discovery Bay CDP,2010,Annual,5800,5200,600,10.1,N,Final
Sub-County Place,Dixon city,2010,Annual,9500,8400,1100,11.1,N,Final
Sub-County Place,Dixon Lane Meadow Creek CDP,2010,Annual,1370,1220,150,10.8,N,Final
Sub-County Place,Dollar Point CDP,2010,Annual,500,400,100,15,N,Final
Sub-County Place,Dorrington CDP,2010,Annual,80,80,0,0,N,Final
Sub-County Place,Dos Palos city,2010,Annual,2000,1500,500,25.1,N,Final
Sub-County Place,Downey city,2010,Annual,56200,49900,6300,11.2,N,Final
Sub-County Place,Duarte city,2010,Annual,10300,9100,1200,11.4,N,Final
Sub-County Place,Dublin city,2010,Annual,23100,21500,1600,7.1,N,Final
Sub-County Place,Ducor CDP,2010,Annual,200,200,0,20.5,N,Final
Sub-County Place,Dunsmuir city,2010,Annual,730,500,240,32.1,N,Final
Sub-County Place,Durham CDP,2010,Annual,3200,2700,500,14.2,N,Final
Sub-County Place,Dustin Acres CDP,2010,Annual,300,300,0,0,N,Final
Sub-County Place,Earlimart CDP,2010,Annual,2900,2200,700,24.3,N,Final
Sub-County Place,East Foothills CDP,2010,Annual,3900,3500,400,11.3,N,Final
Sub-County Place,East Hemet CDP,2010,Annual,9100,7500,1600,17.5,N,Final
Sub-County Place,East Los Angeles CDP,2010,Annual,54400,46700,7700,14.2,N,Final
Sub-County Place,East Oakdale CDP,2010,Annual,1300,1200,200,11.7,N,Final
Sub-County Place,Easton CDP,2010,Annual,1000,800,100,12.7,N,Final
Sub-County Place,East Orosi CDP,2010,Annual,100,0,100,59.5,N,Final
Sub-County Place,East Palo Alto city,2010,Annual,13900,12000,1800,13.2,N,Final
Sub-County Place,East Pasadena CDP,2010,Annual,3000,2700,300,10.3,N,Final
Sub-County Place,East Porterville CDP,2010,Annual,3100,2400,700,23.7,N,Final
Sub-County Place,East Quincy CDP,2010,Annual,1310,1130,180,13.6,N,Final
Sub-County Place,East Richmond Heights CDP,2010,Annual,1700,1500,200,10.5,N,Final
Sub-County Place,East San Gabriel CDP,2010,Annual,7900,7200,700,8.7,N,Final
Sub-County Place,East Shore CDP,2010,Annual,130,130,0,0,N,Final
Sub-County Place,East Sonora CDP,2010,Annual,1000,930,80,7.6,N,Final
Sub-County Place,Eastvale City city,2010,Annual,25900,23400,2500,9.7,N,Final
Sub-County Place,Edwards AFB CDP,2010,Annual,800,800,100,6.8,N,Final
Sub-County Place,El Cajon city,2010,Annual,46800,39600,7200,15.4,N,Final
Sub-County Place,El Centro city,2010,Annual,21200,15400,5800,27.5,N,Final
Sub-County Place,El Cerrito city,2010,Annual,13000,11700,1300,9.9,N,Final
Sub-County Place,El Cerrito CDP,2010,Annual,2900,2400,500,16.8,N,Final
Sub-County Place,El Dorado Hills CDP,2010,Annual,20900,19300,1600,7.8,N,Final
Sub-County Place,El Granada CDP,2010,Annual,3000,2800,300,8.6,N,Final
Sub-County Place,Elk Grove CDP,2010,Annual,74800,67200,7600,10.1,N,Final
Sub-County Place,Elkhorn CDP,2010,Annual,1000,800,100,13.3,N,Final
Sub-County Place,Elmira CDP,2010,Annual,100,0,0,15.7,N,Final
Sub-County Place,El Monte city,2010,Annual,52400,44300,8000,15.3,N,Final
Sub-County Place,El Paso de Robles (Paso Robles) city,2010,Annual,15300,13600,1700,11.4,N,Final
Sub-County Place,El Rio CDP,2010,Annual,3000,2600,400,12.7,N,Final
Sub-County Place,El Segundo city,2010,Annual,9400,8700,700,7.2,N,Final
Sub-County Place,El Sobrante CDP,2010,Annual,7400,6600,800,11.1,N,Final
Sub-County Place,El Verano CDP,2010,Annual,2100,1800,200,11.5,N,Final
Sub-County Place,Emeryville city,2010,Annual,6700,6200,500,7.3,N,Final
Sub-County Place,Empire CDP,2010,Annual,1600,1300,300,18.6,N,Final
Sub-County Place,Encinitas city,2010,Annual,32000,29100,2900,9,N,Final
Sub-County Place,Escalon city,2010,Annual,3600,3200,400,10.2,N,Final
Sub-County Place,Escondido city,2010,Annual,67900,60400,7500,11,N,Final
Sub-County Place,Esparto CDP,2010,Annual,1500,1400,100,8.9,N,Final
Sub-County Place,Eureka city,2010,Annual,13600,12200,1400,10.6,N,Final
Sub-County Place,Exeter city,2010,Annual,4600,3800,800,16.7,N,Final
Sub-County Place,Fairfax town,2010,Annual,4600,4300,300,5.9,N,Final
Sub-County Place,Fairfield city,2010,Annual,49900,44100,5800,11.6,N,Final
Sub-County Place,Fair Oaks CDP,2010,Annual,16000,14500,1400,9,N,Final
Sub-County Place,Fairview CDP,2010,Annual,5800,4900,900,14.9,N,Final
Sub-County Place,Fallbrook CDP,2010,Annual,14200,12200,2000,14.1,N,Final
Sub-County Place,Fall River Mills CDP,2010,Annual,200,200,0,0,N,Final
Sub-County Place,Farmersville city,2010,Annual,4800,3700,1100,23.1,N,Final
Sub-County Place,Farmington CDP,2010,Annual,100,100,0,18.8,N,Final
Sub-County Place,Fellows CDP,2010,Annual,100,100,0,3.9,N,Final
Sub-County Place,Felton CDP,2010,Annual,2700,2500,200,8,N,Final
Sub-County Place,Ferndale city,2010,Annual,700,700,100,9.3,N,Final
Sub-County Place,Fetters Hot Springs Agua Caliente CDP,2010,Annual,1900,1800,100,7.7,N,Final
Sub-County Place,Fillmore city,2010,Annual,6900,6100,900,12.4,N,Final
Sub-County Place,Firebaugh city,2010,Annual,3500,2900,600,17.4,N,Final
Sub-County Place,Florence Graham CDP,2010,Annual,25800,22300,3500,13.5,N,Final
Sub-County Place,Florin CDP,2010,Annual,20500,16900,3600,17.7,N,Final
Sub-County Place,Folsom city,2010,Annual,34400,31400,3000,8.6,N,Final
Sub-County Place,Fontana city,2010,Annual,91400,77700,13700,14.9,N,Final
Sub-County Place,Foothill Farms CDP,2010,Annual,15500,13100,2400,15.6,N,Final
Sub-County Place,Ford City CDP,2010,Annual,1700,1300,400,22.9,N,Final
Sub-County Place,Foresthill CDP,2010,Annual,1000,1000,100,8,N,Final
Sub-County Place,Forest Meadows CDP,2010,Annual,760,700,60,7.5,N,Final
Sub-County Place,Forestville CDP,2010,Annual,1700,1400,300,16.7,N,Final
Sub-County Place,Fort Bragg city,2010,Annual,3640,3300,340,9.3,N,Final
Sub-County Place,Fortuna city,2010,Annual,4800,4300,500,10.8,N,Final
Sub-County Place,Foster City city,2010,Annual,16400,15100,1300,7.9,N,Final
Sub-County Place,Fountain Valley city,2010,Annual,28100,25400,2800,9.8,N,Final
Sub-County Place,Fowler city,2010,Annual,2700,2400,400,14.2,N,Final
Sub-County Place,Frazier Park CDP,2010,Annual,1300,1200,100,7.9,N,Final
Sub-County Place,Freedom CDP,2010,Annual,1600,1200,400,25.9,N,Final
Sub-County Place,Fremont city,2010,Annual,108800,99200,9600,8.9,N,Final
Sub-County Place,French Camp CDP,2010,Annual,1300,900,400,28.7,N,Final
Sub-County Place,Fresno city,2010,Annual,236900,193200,43600,18.4,N,Final
Sub-County Place,Friant CDP,2010,Annual,200,100,0,14.7,N,Final
Sub-County Place,Fullerton city,2010,Annual,69300,61500,7800,11.3,N,Final
Sub-County Place,Furnace Creek CDP,2010,Annual,50,50,0,0,N,Final
Sub-County Place,Galt city,2010,Annual,11000,9300,1600,15,N,Final
Sub-County Place,Gardena city,2010,Annual,29700,26000,3700,12.6,N,Final
Sub-County Place,Garden Acres CDP,2010,Annual,4700,3300,1400,30.4,N,Final
Sub-County Place,Garden Grove city,2010,Annual,83100,72900,10200,12.3,N,Final
Sub-County Place,Georgetown CDP,2010,Annual,900,800,100,10.6,N,Final
Sub-County Place,Gilroy city,2010,Annual,25000,21600,3400,13.7,N,Final
Sub-County Place,Glendale city,2010,Annual,98200,86200,12000,12.2,N,Final
Sub-County Place,Glendora city,2010,Annual,24700,22100,2700,10.8,N,Final
Sub-County Place,Glen Ellen CDP,2010,Annual,500,400,100,15.4,N,Final
Sub-County Place,Golden Hills CDP,2010,Annual,4000,3500,600,13.9,N,Final
Sub-County Place,Gold River CDP,2010,Annual,4100,3800,300,7.8,N,Final
Sub-County Place,Goleta City,2010,Annual,16600,15600,1000,6,N,Final
Sub-County Place,Gonzales city,2010,Annual,4000,3600,400,10.1,N,Final
Sub-County Place,Goshen CDP,2010,Annual,1800,1100,700,37.7,N,Final
Sub-County Place,Graeagle CDP,2010,Annual,430,340,90,20.7,N,Final
Sub-County Place,Grand Terrace city,2010,Annual,6400,5800,600,9.8,N,Final
Sub-County Place,Granite Bay CDP,2010,Annual,11300,10000,1300,11.6,N,Final
Sub-County Place,Grass Valley city,2010,Annual,5540,4760,780,14.1,N,Final
Sub-County Place,Graton CDP,2010,Annual,900,900,0,4.9,N,Final
Sub-County Place,Greenfield city,2010,Annual,9000,7200,1700,19.1,N,Final
Sub-County Place,Greenhorn CDP,2010,Annual,90,90,0,0,N,Final
Sub-County Place,Green Valley CDP,2010,Annual,700,600,100,11,N,Final
Sub-County Place,Greenville CDP,2010,Annual,240,180,60,26.3,N,Final
Sub-County Place,Gridley city,2010,Annual,2900,2300,600,21.4,N,Final
Sub-County Place,Grover Beach city,2010,Annual,7000,6200,800,11.2,N,Final
Sub-County Place,Guadalupe city,2010,Annual,3200,2900,300,9.4,N,Final
Sub-County Place,Guerneville CDP,2010,Annual,2300,1900,400,15.6,N,Final
Sub-County Place,Gustine city,2010,Annual,2300,1900,400,18.9,N,Final
Sub-County Place,Hacienda Heights CDP,2010,Annual,25800,23300,2500,9.5,N,Final
Sub-County Place,Half Moon Bay city,2010,Annual,6300,5800,500,8.4,N,Final
Sub-County Place,Hamilton Branch CDP,2010,Annual,200,200,0,0,N,Final
Sub-County Place,Hamilton City CDP,2010,Annual,920,650,270,29.6,N,Final
Sub-County Place,Hanford city,2010,Annual,24300,20700,3700,15,N,Final
Sub-County Place,Hawaiian Gardens city,2010,Annual,6300,5600,700,11.2,N,Final
Sub-County Place,Hawthorne city,2010,Annual,42600,37800,4800,11.3,N,Final
Sub-County Place,Hayfork CDP,2010,Annual,760,490,270,35.1,N,Final
Sub-County Place,Hayward city,2010,Annual,75400,64000,11500,15.2,N,Final
Sub-County Place,Healdsburg city,2010,Annual,5300,4800,500,9.6,N,Final
Sub-County Place,Heber CDP,2010,Annual,2600,1600,1000,37.3,N,Final
Sub-County Place,Hemet city,2010,Annual,28400,23000,5400,19,N,Final
Sub-County Place,Hercules city,2010,Annual,13000,12000,1000,7.6,N,Final
Sub-County Place,Hermosa Beach city,2010,Annual,12100,11500,700,5.5,N,Final
Sub-County Place,Hesperia city,2010,Annual,34900,28500,6400,18.4,N,Final
Sub-County Place,Hidden Hills city,2010,Annual,700,700,0,3.2,N,Final
Sub-County Place,Hidden Valley Lake CDP,2010,Annual,3260,2800,460,14,N,Final
Sub-County Place,Highgrove CDP,2010,Annual,1900,1600,300,15.3,N,Final
Sub-County Place,Highland city,2010,Annual,22900,20100,2800,12.2,N,Final
Sub-County Place,Hillsborough town,2010,Annual,4800,4400,400,7.4,N,Final
Sub-County Place,Hilmar Irwin CDP,2010,Annual,2500,2100,400,16.7,N,Final
Sub-County Place,Hollister city,2010,Annual,17400,14700,2700,15.6,N,Final
Sub-County Place,Holtville city,2010,Annual,3000,2000,1000,33.2,N,Final
Sub-County Place,Home Garden CDP,2010,Annual,700,500,200,27.6,N,Final
Sub-County Place,Home Gardens CDP,2010,Annual,5600,4700,900,16.2,N,Final
Sub-County Place,Homeland CDP,2010,Annual,2500,1800,700,28.7,N,Final
Sub-County Place,Hughson city,2010,Annual,3200,2400,800,23.9,N,Final
Sub-County Place,Huntington Beach city,2010,Annual,103800,93800,10000,9.7,N,Final
Sub-County Place,Huntington Park city,2010,Annual,27600,23100,4500,16.2,N,Final
Sub-County Place,Huron city,2010,Annual,2600,2200,400,14.3,N,Final
Sub-County Place,Hydesville CDP,2010,Annual,600,600,0,6.8,N,Final
Sub-County Place,Idyllwild Pine Cove CDP,2010,Annual,1100,1000,100,9.5,N,Final
Sub-County Place,Imperial city,2010,Annual,7700,5800,1900,25.3,N,Final
Sub-County Place,Imperial Beach city,2010,Annual,12500,10500,2100,16.5,N,Final
Sub-County Place,Independence CDP,2010,Annual,260,210,50,17.9,N,Final
Sub-County Place,Indian Falls CDP,2010,Annual,0,0,0,0,N,Final
Sub-County Place,Indian Wells city,2010,Annual,1600,1400,200,10.5,N,Final
Sub-County Place,Indio city,2010,Annual,35400,30000,5400,15.2,N,Final
Sub-County Place,Industry city,2010,Annual,100,100,0,3.6,N,Final
Sub-County Place,Inglewood city,2010,Annual,54400,45600,8800,16.2,N,Final
Sub-County Place,Interlaken CDP,2010,Annual,3800,3100,600,16.9,N,Final
Sub-County Place,Inverness CDP,2010,Annual,700,700,0,0,N,Final
Sub-County Place,Inyokern CDP,2010,Annual,700,700,0,6.5,N,Final
Sub-County Place,Ione city,2010,Annual,1610,1440,180,11,N,Final
Sub-County Place,Iron Horse CDP,2010,Annual,130,130,0,0,N,Final
Sub-County Place,Irvine city,2010,Annual,109200,101000,8300,7.6,N,Final
Sub-County Place,Irwindale city,2010,Annual,700,600,100,16.3,N,Final
Sub-County Place,Isla Vista CDP,2010,Annual,12900,10400,2500,19.1,N,Final
Sub-County Place,Isleton city,2010,Annual,400,300,100,21.3,N,Final
Sub-County Place,Ivanhoe CDP,2010,Annual,2500,1700,800,30.8,N,Final
Sub-County Place,Jackson city,2010,Annual,2130,1760,360,17,N,Final
Sub-County Place,Jamestown CDP,2010,Annual,1640,1280,360,22.1,N,Final
Sub-County Place,Johannesburg CDP,2010,Annual,100,100,0,0,N,Final
Sub-County Place,Johnsville CDP,2010,Annual,40,40,0,0,N,Final
Sub-County Place,Joshua Tree CDP,2010,Annual,2900,2300,600,21.7,N,Final
Sub-County Place,Jurupa Valley city,2010,Annual,44800,36700,8100,18,N,Final
Sub-County Place,Keddie CDP,2010,Annual,50,50,0,0,N,Final
Sub-County Place,Keeler CDP,2010,Annual,10,10,0,0,N,Final
Sub-County Place,Keene CDP,2010,Annual,200,100,0,14.9,N,Final
Sub-County Place,Kelseyville CDP,2010,Annual,1490,1190,300,20.2,N,Final
Sub-County Place,Kennedy CDP,2010,Annual,1100,1000,100,11.6,N,Final
Sub-County Place,Kensington CDP,2010,Annual,2600,2400,200,6.8,N,Final
Sub-County Place,Kerman city,2010,Annual,6600,5700,1000,14.4,N,Final
Sub-County Place,Kernville CDP,2010,Annual,600,600,0,3.1,N,Final
Sub-County Place,Kettleman City CDP,2010,Annual,600,400,200,31.6,N,Final
Sub-County Place,Keyes CDP,2010,Annual,2100,1500,600,27.7,N,Final
Sub-County Place,King City city,2010,Annual,6400,4900,1600,24.5,N,Final
Sub-County Place,Kings Beach CDP,2010,Annual,2400,2100,300,11.8,N,Final
Sub-County Place,Kingsburg city,2010,Annual,5800,4800,1000,17.4,N,Final
Sub-County Place,Kirkwood CDP,2010,Annual,50,50,10,13.5,N,Final
Sub-County Place,Klamath CDP,2010,Annual,370,300,70,19.3,N,Final
Sub-County Place,Knightsen CDP,2010,Annual,700,600,100,13.8,N,Final
Sub-County Place,La Canada Flintridge city,2010,Annual,9100,8500,600,7.1,N,Final
Sub-County Place,La Crescenta Montrose CDP,2010,Annual,10100,9200,800,8.4,N,Final
Sub-County Place,Ladera Heights CDP,2010,Annual,3400,3100,300,8.8,N,Final
Sub-County Place,Lafayette city,2010,Annual,11100,10400,700,6.3,N,Final
Sub-County Place,Laguna Beach city,2010,Annual,12200,11300,900,7.7,N,Final
Sub-County Place,Laguna Hills city,2010,Annual,16600,15100,1500,9.2,N,Final
Sub-County Place,Laguna Niguel city,2010,Annual,33800,30700,3100,9.2,N,Final
Sub-County Place,Laguna Woods city,2010,Annual,3900,3500,400,10.1,N,Final
Sub-County Place,La Habra city,2010,Annual,30600,27100,3400,11.3,N,Final
Sub-County Place,La Habra Heights city,2010,Annual,2300,2200,100,4.1,N,Final
Sub-County Place,Lake Almanor Country Club CDP,2010,Annual,170,170,0,0,N,Final
Sub-County Place,Lake Almanor Peninsula CDP,2010,Annual,30,30,0,0,N,Final
Sub-County Place,Lake Almanor West CDP,2010,Annual,190,150,40,21.9,N,Final
Sub-County Place,Lake Arrowhead CDP,2010,Annual,4000,3600,400,10.6,N,Final
Sub-County Place,Lake Elsinore city,2010,Annual,24000,20400,3600,15,N,Final
Sub-County Place,Lake Forest city,2010,Annual,43500,40400,3100,7.2,N,Final
Sub-County Place,Lake Isabella CDP,2010,Annual,1200,1100,100,8.2,N,Final
Sub-County Place,Lakeland Village CDP,2010,Annual,5900,4700,1300,21.3,N,Final
Sub-County Place,Lake Los Angeles CDP,2010,Annual,5000,3900,1100,21.7,N,Final
Sub-County Place,Lake Nacimiento CDP,2010,Annual,1400,1200,200,15.4,N,Final
Sub-County Place,Lake of the Pines CDP,2010,Annual,1610,1440,170,10.7,N,Final
Sub-County Place,Lake of the Woods CDP,2010,Annual,400,400,100,14.8,N,Final
Sub-County Place,Lakeport city,2010,Annual,2380,2130,260,10.8,N,Final
Sub-County Place,Lakeside CDP,2010,Annual,10500,9200,1300,12.5,N,Final
Sub-County Place,Lakeview CDP,2010,Annual,700,600,100,9.9,N,Final
Sub-County Place,Lake Wildwood CDP,2010,Annual,1940,1840,100,5.3,N,Final
Sub-County Place,Lakewood city,2010,Annual,41600,37500,4100,9.8,N,Final
Sub-County Place,La Mesa city,2010,Annual,30200,26800,3400,11.1,N,Final
Sub-County Place,La Mirada city,2010,Annual,23200,21100,2100,9,N,Final
Sub-County Place,Lamont CDP,2010,Annual,7100,5800,1200,17.4,N,Final
Sub-County Place,Lanare CDP,2010,Annual,200,100,100,46.1,N,Final
Sub-County Place,Lancaster city,2010,Annual,63600,54700,8900,14,N,Final
Sub-County Place,La Palma city,2010,Annual,7300,6700,600,7.6,N,Final
Sub-County Place,La Porte CDP,2010,Annual,0,0,0,0,N,Final
Sub-County Place,La Puente city,2010,Annual,18600,16500,2100,11.2,N,Final
Sub-County Place,La Quinta city,2010,Annual,16200,14700,1500,9.2,N,Final
Sub-County Place,La Riviera CDP,2010,Annual,6100,5100,1000,16.4,N,Final
Sub-County Place,Larkspur city,2010,Annual,6500,5800,600,9.8,N,Final
Sub-County Place,Las Flores CDP,2010,Annual,3300,3100,100,4.4,N,Final
Sub-County Place,Las Lomas CDP,2010,Annual,1600,1200,400,24.5,N,Final
Sub-County Place,Lathrop city,2010,Annual,7200,6000,1200,16.3,N,Final
Sub-County Place,Laton CDP,2010,Annual,600,600,100,8.5,N,Final
Sub-County Place,La Verne city,2010,Annual,15000,13500,1500,9.8,N,Final
Sub-County Place,Lawndale city,2010,Annual,16500,14500,2000,12.1,N,Final
Sub-County Place,Laytonville CDP,2010,Annual,580,500,90,14.9,N,Final
Sub-County Place,Lebec CDP,2010,Annual,600,500,100,13.2,N,Final
Sub-County Place,Le Grand CDP,2010,Annual,800,600,100,19.5,N,Final
Sub-County Place,Lemon Cove CDP,2010,Annual,100,0,0,31.1,N,Final
Sub-County Place,Lemon Grove city,2010,Annual,12400,10700,1800,14.2,N,Final
Sub-County Place,Lemoore city,2010,Annual,11600,9900,1700,14.8,N,Final
Sub-County Place,Lemoore Station CDP,2010,Annual,1200,1000,100,12.6,N,Final
Sub-County Place,Lennox CDP,2010,Annual,9900,8700,1200,12.3,N,Final
Sub-County Place,Lenwood CDP,2010,Annual,1300,1000,300,20.8,N,Final
Sub-County Place,Lewiston CDP,2010,Annual,420,370,50,11.2,N,Final
Sub-County Place,Lincoln city,2010,Annual,18100,15700,2300,12.9,N,Final
Sub-County Place,Lincoln Village CDP,2010,Annual,2600,2200,400,15.6,N,Final
Sub-County Place,Linda CDP,2010,Annual,6800,5200,1600,23.2,N,Final
Sub-County Place,Linden CDP,2010,Annual,900,800,100,9.3,N,Final
Sub-County Place,Lindsay city,2010,Annual,5300,4000,1300,23.7,N,Final
Sub-County Place,Little Grass Valley CDP,2010,Annual,10,10,0,0,N,Final
Sub-County Place,Littlerock CDP,2010,Annual,600,500,100,16.7,N,Final
Sub-County Place,Live Oak CDP,2010,Annual,8800,7800,1100,12.1,N,Final
Sub-County Place,Live Oak city,2010,Annual,3600,3000,600,16.5,N,Final
Sub-County Place,Livermore city,2010,Annual,43100,39800,3300,7.7,N,Final
Sub-County Place,Livingston city,2010,Annual,6300,4900,1400,22.1,N,Final
Sub-County Place,Lockeford CDP,2010,Annual,1600,1300,300,19.8,N,Final
Sub-County Place,Lodi city,2010,Annual,28800,24200,4600,16,N,Final
Sub-County Place,Loma Linda city,2010,Annual,11000,10100,900,8.1,N,Final
Sub-County Place,Loma Rica CDP,2010,Annual,1300,1100,200,11.8,N,Final
Sub-County Place,Lomita city,2010,Annual,11100,10100,1000,9.1,N,Final
Sub-County Place,Lompoc city,2010,Annual,17900,15600,2300,12.8,N,Final
Sub-County Place,London CDP,2010,Annual,800,600,300,30.6,N,Final
Sub-County Place,Lone Pine CDP,2010,Annual,1040,920,120,11.4,N,Final
Sub-County Place,Long Beach city,2010,Annual,238300,205600,32600,13.7,N,Final
Sub-County Place,Loomis town,2010,Annual,3000,2700,200,8.2,N,Final
Sub-County Place,Los Alamitos city,2010,Annual,5700,5100,600,10,N,Final
Sub-County Place,Los Alamos CDP,2010,Annual,700,500,100,19.9,N,Final
Sub-County Place,Los Altos city,2010,Annual,13000,12000,900,7.1,N,Final
Sub-County Place,Los Angeles city,2010,Annual,1979400,1716500,262900,13.3,N,Final
Sub-County Place,Los Banos city,2010,Annual,15800,12900,3000,18.7,N,Final
Sub-County Place,Los Gatos town,2010,Annual,14300,13300,1100,7.3,N,Final
Sub-County Place,Los Molinos CDP,2010,Annual,840,760,80,9.9,N,Final
Sub-County Place,Lost Hills CDP,2010,Annual,1100,900,100,11.5,N,Final
Sub-County Place,Lower Lake CDP,2010,Annual,450,430,20,3.8,N,Final
Sub-County Place,Loyalton city,2010,Annual,390,360,40,9.2,N,Final
Sub-County Place,Lucerne CDP,2010,Annual,1080,810,270,25.2,N,Final
Sub-County Place,Lynwood city,2010,Annual,28700,24300,4400,15.3,N,Final
Sub-County Place,McCloud CDP,2010,Annual,520,410,110,21.9,N,Final
Sub-County Place,McFarland city,2010,Annual,5200,3900,1200,24,N,Final
Sub-County Place,McKinleyville CDP,2010,Annual,8800,7900,900,10,N,Final
Sub-County Place,McKittrick CDP,2010,Annual,100,0,0,34.7,N,Final
Sub-County Place,Madera city,2010,Annual,26200,22300,3900,14.8,N,Final
Sub-County Place,Madera Acres CDP,2010,Annual,4200,3600,600,14.6,N,Final
Sub-County Place,Magalia CDP,2010,Annual,4400,3700,700,15.2,N,Final
Sub-County Place,Malibu city,2010,Annual,5900,5500,400,7.5,N,Final
Sub-County Place,Mammoth Lakes town,2010,Annual,5570,5050,520,9.3,N,Final
Sub-County Place,Manhattan Beach city,2010,Annual,18200,17200,1000,5.3,N,Final
Sub-County Place,Manteca city,2010,Annual,33200,27600,5700,17,N,Final
Sub-County Place,Manton CDP,2010,Annual,100,80,20,16.8,N,Final
Sub-County Place,March AFB CDP,2010,Annual,200,200,0,9.3,N,Final
Sub-County Place,Maricopa city,2010,Annual,500,400,100,27.6,N,Final
Sub-County Place,Marina city,2010,Annual,11300,10200,1100,9.9,N,Final
Sub-County Place,Marina del Rey CDP,2010,Annual,6700,5900,800,11.6,N,Final
Sub-County Place,Mariposa CDP,2010,Annual,790,760,40,4.5,N,Final
Sub-County Place,Markleeville CDP,2010,Annual,160,150,10,7.4,N,Final
Sub-County Place,Martinez city,2010,Annual,19700,17700,2000,10.2,N,Final
Sub-County Place,Marysville city,2010,Annual,4800,3900,900,18,N,Final
Sub-County Place,Mayflower Village CDP,2010,Annual,3000,2800,300,9,N,Final
Sub-County Place,Maywood city,2010,Annual,12500,10800,1600,13.1,N,Final
Sub-County Place,Meadow Valley CDP,2010,Annual,430,370,60,13.4,N,Final
Sub-County Place,Meadow Vista CDP,2010,Annual,1600,1400,200,10,N,Final
Sub-County Place,Mecca CDP,2010,Annual,3600,2400,1200,34.4,N,Final
Sub-County Place,Meiners Oaks CDP,2010,Annual,1800,1700,100,5.6,N,Final
Sub-County Place,Mendocino CDP,2010,Annual,590,530,60,9.9,N,Final
Sub-County Place,Mendota city,2010,Annual,5900,4000,1800,31.1,N,Final
Sub-County Place,Menifee City,2010,Annual,33800,28300,5500,16.4,N,Final
Sub-County Place,Menlo Park city,2010,Annual,16800,15600,1100,6.8,N,Final
Sub-County Place,Mentone CDP,2010,Annual,4700,4300,400,7.6,N,Final
Sub-County Place,Merced city,2010,Annual,34300,28300,6000,17.4,N,Final
Sub-County Place,Mesa CDP,2010,Annual,210,200,10,5.7,N,Final
Sub-County Place,Mesa Vista CDP,2010,Annual,100,90,10,10.1,N,Final
Sub-County Place,Mettler CDP,2010,Annual,100,100,0,18.8,N,Final
Sub-County Place,Middletown CDP,2010,Annual,800,680,120,15,N,Final
Sub-County Place,Millbrae city,2010,Annual,10800,10000,800,7.4,N,Final
Sub-County Place,Mill Valley city,2010,Annual,7000,6600,400,5.8,N,Final
Sub-County Place,Milpitas city,2010,Annual,33900,30500,3400,10.1,N,Final
Sub-County Place,Mineral CDP,2010,Annual,60,60,0,0,N,Final
Sub-County Place,Mira Monte CDP,2010,Annual,4100,3700,500,11.2,N,Final
Sub-County Place,Mission Canyon CDP,2010,Annual,1200,1200,100,5.7,N,Final
Sub-County Place,Mission Hills CDP,2010,Annual,1700,1500,200,12.1,N,Final
Sub-County Place,Mission Viejo city,2010,Annual,48500,44000,4600,9.4,N,Final
Sub-County Place,Mi Wuk Village CDP,2010,Annual,420,390,20,5.5,N,Final
Sub-County Place,Modesto city,2010,Annual,95400,79200,16200,17,N,Final
Sub-County Place,Mohawk Vista CDP,2010,Annual,100,100,0,0,N,Final
Sub-County Place,Mojave CDP,2010,Annual,1400,1100,400,25.9,N,Final
Sub-County Place,Mokelumne Hill CDP,2010,Annual,480,290,190,38.6,N,Final
Sub-County Place,Mono Vista CDP,2010,Annual,1260,1000,260,20.6,N,Final
Sub-County Place,Monrovia city,2010,Annual,20300,18300,2000,9.8,N,Final
Sub-County Place,Montclair city,2010,Annual,17300,15300,2100,11.9,N,Final
Sub-County Place,Montebello city,2010,Annual,28100,25100,3100,10.9,N,Final
Sub-County Place,Montecito CDP,2010,Annual,3600,3200,300,9.7,N,Final
Sub-County Place,Monterey city,2010,Annual,15200,13700,1400,9.5,N,Final
Sub-County Place,Monterey Park city,2010,Annual,28900,25700,3300,11.3,N,Final
Sub-County Place,Monte Rio CDP,2010,Annual,600,500,100,10.7,N,Final
Sub-County Place,Moorpark city,2010,Annual,19000,17300,1700,8.7,N,Final
Sub-County Place,Morada CDP,2010,Annual,1900,1700,300,13.6,N,Final
Sub-County Place,Moraga town,2010,Annual,7000,6500,600,7.9,N,Final
Sub-County Place,Moreno Valley city,2010,Annual,88100,74900,13300,15,N,Final
Sub-County Place,Morgan Hill city,2010,Annual,19800,17500,2300,11.7,N,Final
